domain	DNS	Registrar	Reseller	DNS
construtoramadri.com	2021-02-02T00:29:20	TUCOWS	UOL Host	jerry.ns.cloudflare.com mckenzie.ns.cloudflare.com
empresariocobranca.com	2021-03-23T03:41:12	TUCOWS	UOL Host	candy.ns.cloudflare.com nikon.ns.cloudflare.com
maggiottomachado.com	2021-03-30T00:10:04	TUCOWS	UOL Host	diana.ns.cloudflare.com elliot.ns.cloudflare.com
cadastrodeempresas.com	2021-03-30T23:27:24	TUCOWS	UOL Host	lynn.ns.cloudflare.com may.ns.cloudflare.com
aguasmornaspalacehotel.com	2021-04-04T23:54:32	TUCOWS	UOL Host	angela.ns.cloudflare.com garrett.ns.cloudflare.com
mercadosfontenova.com	2021-04-07T23:34:02	TUCOWS	UOL Host	sandra.ns.cloudflare.com javier.ns.cloudflare.com
nacionalpecasdiesel.com	2021-07-11T11:52:03	TUCOWS	UOL Host	stephane.ns.cloudflare.com anirban.ns.cloudflare.com
mellimobiliaria.com	2021-07-11T12:01:09	TUCOWS	UOL Host	sandra.ns.cloudflare.com javier.ns.cloudflare.com
laticiniosnorte.com	2021-07-12T19:44:32	TUCOWS	UOL Host	aarav.ns.cloudflare.com diana.ns.cloudflare.com
madureirashopping.com	2021-07-12T20:04:58	TUCOWS	UOL Host	diana.ns.cloudflare.com elliot.ns.cloudflare.com
novaradialimoveis.com	2021-07-12T20:05:10	TUCOWS	UOL Host	aaden.ns.cloudflare.com sneh.ns.cloudflare.com
segmentofarma.com	2021-07-13T20:32:35	TUCOWS	UOL Host	donald.ns.cloudflare.com carlane.ns.cloudflare.com
produquimicalubrificantes.com	2021-07-13T20:32:38	TUCOWS	UOL Host	diana.ns.cloudflare.com ruben.ns.cloudflare.com
queroosmelhores.com	2021-07-13T20:32:54	TUCOWS	UOL Host	diana.ns.cloudflare.com ruben.ns.cloudflare.com
vpcengenharia.com	2021-07-13T20:48:02	TUCOWS	UOL Host	amber.ns.cloudflare.com morgan.ns.cloudflare.com
equipamentoslondrina.com	2021-08-10T19:39:32	TUCOWS	UOL Host	brenda.ns.cloudflare.com jimmy.ns.cloudflare.com
digitronmanaus.com	2021-08-10T19:39:35	TUCOWS	UOL Host	candy.ns.cloudflare.com nikon.ns.cloudflare.com
campinascacambas.com	2021-08-10T19:39:39	TUCOWS	UOL Host	clark.ns.cloudflare.com daniella.ns.cloudflare.com
gdeabclogistica.com	2021-08-10T19:57:02	TUCOWS	UOL Host	venus.ns.cloudflare.com alfred.ns.cloudflare.com
salvanaturismo.com	2021-08-10T19:57:18	TUCOWS	UOL Host	love.ns.cloudflare.com kyrie.ns.cloudflare.com
panoramaeditora.com	2021-08-10T19:57:21	TUCOWS	UOL Host	vasilii.ns.cloudflare.com betty.ns.cloudflare.com
macromadeiras.com	2021-08-11T23:25:36	TUCOWS	UOL Host	jarred.ns.cloudflare.com joselyn.ns.cloudflare.com
calcadosnaturali.com	2021-08-11T23:25:40	TUCOWS	UOL Host	teagan.ns.cloudflare.com henry.ns.cloudflare.com
midiaartistica.com	2021-08-11T23:25:44	TUCOWS	UOL Host	malavika.ns.cloudflare.com giancarlo.ns.cloudflare.com
oxioncosmeticos.com	2021-08-11T23:25:47	TUCOWS	UOL Host	shaz.ns.cloudflare.com alberto.ns.cloudflare.com
originalpurificadores.com	2021-08-11T23:25:51	TUCOWS	UOL Host	hans.ns.cloudflare.com eve.ns.cloudflare.com
limpadoraxavier.com	2021-08-11T23:25:59	TUCOWS	UOL Host	evangeline.ns.cloudflare.com jeremy.ns.cloudflare.com
salumconstrucoes.com	2021-08-11T23:26:02	TUCOWS	UOL Host	melnicoff.ns.cloudflare.com cruz.ns.cloudflare.com
clinicaolimpiadas.com	2021-08-11T23:26:06	TUCOWS	UOL Host	jihoon.ns.cloudflare.com jule.ns.cloudflare.com
